year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution
2020,1,"กําหนดให้ a และ b  เป็นจำนวนจริงที่มากกว่า 1
ถ้า sqrt(b)  เป็นรากที่ 6 ของ a 
แล้วข้อใดถูกต้อง","1.  a = b^1/12
2.  a = b^1/6
3.  a = b^1/3
4.  a = b^3
5.  a = b¹²",4.  a = b^3,TRUE,TRUE,TRUE
2020,2,"2 พิจารณาข้อความต่อไปนี้
 ก ) 100^10 = 10^1000
 ข) (-4)^2/5 = 5sqrt(2^4)
 ค) 3sqrt(1/27)^4 < (1/27)^-4/3

จากข้อความ ก) ข) และ ค) ข้างต้น ข้อใดถูกต้อง","1. ข้อความ ก) ถูกต้องเพียงข้อเดียวเท่านั้น
2. ข้อความ ข) ถูกต้องเพียงข้อเดียวเท่านั้น
3. ข้อความ ค) ถูกต้องเพียงข้อเดียวเท่านั้น
4. ข้อความ ก) และ ข) ถูกต้องเท่านั้น
5. ข้อความ ข) และ ค ถูกต้องเท่านั้น",5. ข้อความ ข) และ ค ถูกต้องเท่านั้น,TRUE,TRUE,TRUE
2020,3,"กำหนดให้ (3^x/4 . 2^1/4)^12  = 24
ข้อใดถูกต้อง","1. 0 < x < 1/4
2. 1/4 < x < 1/2
3. 1/2 < x < 1
4. 1 < x < 4
5. 2 < x < 4",2. 1/4 < x < 1/2,TRUE,TRUE,TRUE
2020,4,"กำหนดให้ A = {5,6,7}
                B = {x l x เป็นจำนวนคี่ที่มากกว่า 2 แต่น้อยกว่า 8 }
    และ      C = { x l x = 3n - 2 เมื่ิv n E {1,2,3}}
              ( A U B) - C คือเซตในข้อใด ","1. {5}
2. {1,2}
3. {1,4}
4. {3,4,6}
5. {5,6,7} ","4. {3,4,6}",TRUE,TRUE,TRUE
2020,5,"กำหนดให้ p, q และ r เป็นประพจน์ที่มีค่าความจริงเป็นจริง เท็จ และจริง
ตามลำดับ
ประพจน์ในข้อใดมีค่าความจริงเป็นจริง","1.p^(qv~r) 
2. p ↔ ( q → r )
3. (~p v q) ^ r
4. p → ( q ↔ r )
5. (p ↔ ) v ~ r ",2. p ↔ ( q → r ),TRUE,TRUE,TRUE
2020,6,"กําหนดให้ ประพจน์ “จ้อยเป็นคนตรงต่อเวลาและไม่ ได้ ใส่แว่นตา” มีค่าความจริง
เป็นจริง
และ “จ้อยเป็นคนตรงต่อเวลาก็ต่อเมื่อจ้อยใส่นาฬิกาข้อมือ” มีค่าความจริงเป็นเท็จ
ประพจน์ ใน ข้อใดมีค่าความจริงเป็นเท็จ","1. ถ้าจ้อยใส่นาฬิกาข้อมือ แล้วจ้อยไม่ได้ใส่แว่นตา
2. ถ้าจ้อยใส่ นาฬิกาข้อมือ แล้วจ้อยใส่แว่นตา
3. จ้อยใส่แว่นตาก็ต่อเมื่อจ้อยใส่นาฬิกาข้อมือ
4. จ้อย ไม่ได้ใส่แว่นตาและไม่ ได้ ใส่นาฬิกาข้อมือ
5. จ้อย ใส่แว่นตาแต่ไม่ ได้ใส่นาฬิกาข้อมือ",5. จ้อย ใส่แว่นตาแต่ไม่ ได้ใส่นาฬิกาข้อมือ,TRUE,TRUE,TRUE
2020,7,"กำหดนให้ a,b,c, และ d เป็นจำนวนจริงใดๆ โดยที่ a,b,c ,d เป็นลำดับเลขคณิต
พิจารณาข้อความต่อไปนี้
ก) a = b + c - d
ข) b = (a+c)/2
ค) d = (a+b+c)/3
จากข้อความ ก) ข) และ ค) ข้างต้น ข้อใดถูกต้อง","1. ข้อความ ก) ถูกต้องเพียงข้อเดียวเท่านั้น
2. ข้อความ ข) ถูกต้องเพียงข้อเดียวเท่านั้น
3. ข้อความ ค) ถูกต้องเพียงข้อเดียวเท่านั้น
4. ข้อความ ก) และ ข) ถูกต้องเท่านั้น
5 ข้อความ ก)  และ ค) ถูกต้องเท่านั้น",4. ข้อความ ก) และ ข) ถูกต้องเท่านั้น,TRUE,TRUE,TRUE
2020,8,"กำหนดให้ a1, a2, a3, ... , an , ... เป็นลำดับเรขาคณิตที่มีอัตราส่วนร่วมเป็น -2
ถ้า a4 = แล้ว a1 มีค่าเท่ากับเท่าใด","1. -32
2. -1/2
3. 1/4
4. 10
5. 32",2. -1/2,TRUE,TRUE,TRUE
2020,9,"อัครกู้เงินจากสถาบันการเงินแห่งหนึ่ง กำหนดชำระหนี้ทั้งหมดในอีก 3 ปีข้างหน้า
มีอัตราดอกเบี้ย 6% ต่อปี โดยคิดดอกเบี้ยแบบทบต้นทุก 6 เดือน
ถ้าตลอด 3 ปีนี้ อัครไม่ได้กู้เงินเพิ่ม และ ไม่มีการชำระเงิน
เมื่อครบ 3 ปี มียอดเงินกู้พร้อมดอกเบี้ยที่ต้องชำระเป็นเงิน 11,940.52 บาท
แล้วอัครกู้เงินกี่บาท","1. 11,940.52(1.01)^-18 บาท
2. 11,940.52(1.01)^-2 บาท
3. 11,940.52(1.03)^-6 บาท
4. 11,940.52(1.06)^-2 บาท
5. 11,940.52(1.06)^-6 บาท","3. 11,940.52(1.03)^-6 บาท",TRUE,TRUE,TRUE
2020,10,"เจตน์เปิดบัญชีฝากประจำกับสถาบันการเงินแห่งหนึ่ง
ซึ่งกำหนดอัตราดอกเบี้ย 2% ต่อปี โดยคิดดอกเบี้ยแบบทบต้นทุกปี
ถ้าเจตน์ฝากเงินปีละ 1 ครั้ง ครั้งละ 500 บาท ณ วันที่ 1 มกราคม ของทุกปี
และเริ่มฝากเงินครั้งแรกในวันที่ 1 มกราคม 2564 โดยไม่ถอนเงินออกมาเลย
แล้วณ วันที่ 31 ธันวาคม 2574 เจตน์จะมีเงินในบัญชีนี้กี่บาท","1. 500 + 500 (1.02) + 500(1.02)^2 + ... + 500 (1.02)^10 บาท
2. 500 + 500(1.02) + 500(1.02)^2 + ... +  500(1.02)^11 บาท
3. 500(1.02) +  500 (1.02)^2 + 500(1.02)  + ... +500(1.02)^10 บาท
4. 500(1.02) +500(1.02) ²  + 500( 1.02) ³  + ... + 500 (1.02)^11 บาท
5. 500(1.02) +500 (1.02) ²  + 500(1.02)^3 +...+  500 (1.02)^12 บาท",4. 500(1.02) +500(1.02) ²  + 500( 1.02) ³  + ... + 500 (1.02)^11 บาท,TRUE,TRUE,TRUE
