year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution
2020,1ก,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
ถ้ามนุษย์ไม่มีแนวคิดเรื่องตนเองมีความสำคัญเหนือสรรพสิ่งและเป็นศูนย์กลาง
ของโลกมนุษย์ย่อมมีความยับยั้งชั่งใจไม่ใช้ประโยชน์จากธรรมชาติมากเกินไป
มีความเกรงใจหรือเกรงกลัวอำนาจในธรรมชาติบ้าง
ข้อความข้างต้นมีคำบุพบทกี่คำ","1. ๒ คำ
2. ๓ คำ
3. ๔ คำ
4. ๕ ค่ำ
5. ๖ คำ",3. ๔ คำ,TRUE,TRUE,TRUE
2020,1ข,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
ถ้ามนุษย์ไม่มีแนวคิดเรื่องตนเองมีความสำคัญเหนือสรรพสิ่งและเป็นศูนย์กลาง
ของโลกมนุษย์ย่อมมีความยับยั้งชั่งใจไม่ใช้ประโยชน์จากธรรมชาติมากเกินไป
มีความเกรงใจหรือเกรงกลัวอำนาจในธรรมชาติบ้าง
ข้อความข้างต้นมีคำสันธานกี่คำ","1. ๒ คำ
2. ๓ คำ
3. ๔ คำ
4.๕ คำ
5. ๖ คำ",2. ๓ คำ,TRUE,TRUE,TRUE
2020,2ก,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
    ในชีวิตของคนหากมีเวลาได้เดินทาง ท่องเที่ยว ชมธรรมชาติ จะทำให้อารมณ์ดีและ
อายุยืน
ข้อความข้างต้นมีคำนามกี่คำ","1. ๔ คำ 
2. ๕ ค่ำ
3. ๖ คำ
4. ๔ คำ
5. ๘ คำ",3. ๖ คำ,TRUE,TRUE,TRUE
2020,2ข,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
    ในชีวิตของคนหากมีเวลาได้เดินทาง ท่องเที่ยว ชมธรรมชาติ จะทำให้อารมณ์ดีและ
อายุยืน
ข้อความข้างต้นมีคำกริยาหลักกี่คำ","1. ๔ คำ
2. ๕ ค่ำ
3. ๖ คำ
4. ๗ คำ
5. ๘ คำ",4. ๗ คำ,TRUE,TRUE,TRUE
2020,3ก,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การผลิตทองรูปพรรณแบบโบราณ ช่างจะใช้มือทำในเกือบทุกขั้นตอน
ข้อความข้างต้นมีพยางค์คำเป็นกี่พยางค์","1. ๘ พยางค์
2. ๙ พยางค์ 
3. ๑๐ พยางค์
4. ๑๑ พยางค์
5. ๑๒ พยางค์",5. ๑๒ พยางค์,TRUE,TRUE,TRUE
2020,3ข,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การผลิตทองรูปพรรณแบบโบราณ ช่างจะใช้มือทำในเกือบทุกขั้นตอน
ข้อความข้างต้นมีพยางค์คำตายกี่พยางค์","1. ๕ พยางค์
2. ๖ พยางค์
3. ๗ พยางค์
4. ๘ พยางค์
5. ๙ พยางค์",4. ๘ พยางค์,TRUE,TRUE,TRUE
2020,4ก,"จงเลือกราชาศัพท์ที่เหมาะสมจากกลุ่ม ก และ จากกลุ่ม ข เติมลงในช่องว่าง (ก)
และ (ข) ตามลำดับ
....…….(ก).....………........พระบาทสมเด็จพระเจ้าอยู่หัว...……….(ข)...................แด่สมเด็จพระราชาคณะ
และพระราชาคณะ","1. พิธีบำเพ็ญพระราชกุศล
2. พิธีทรงบำเพ็ญพระกุศล
3. พระราชพิธีบำเพ็ญพระบรมราชกุศล
4. พระราชพิธีทรงบำเพ็ญพระราชกุศล
5. พระราชพิธีทรงบำเพ็ญพระบรมราชกุศล",4. พระราชพิธีทรงบำเพ็ญพระราชกุศล,TRUE,TRUE,TRUE
2020,4ข,"จงเลือกราชาศัพท์ที่เหมาะสมจากกลุ่ม ก และ จากกลุ่ม ข เติมลงในช่องว่าง (ก)
และ (ข) ตามลำดับ
....…….(ก).....………........พระบาทสมเด็จพระเจ้าอยู่หัว...……….(ข)...................แด่สมเด็จพระราชาคณะ
และพระราชาคณะ","1. ทรงถวายเครื่องไทยธรรม
2. ถวายเครื่องสมณบริโภค
3. พระราชทานเครื่องไทยธรรม
4. ทรงประเคนจตุปัจจัยไทยธรรม
5. ทรงมอบจตุปัจจัยไทยธรรมถวาย",4. ทรงประเคนจตุปัจจัยไทยธรรม,TRUE,TRUE,TRUE
2020,5ก,"ใช้สถานการณ์ต่อไปนี้ตอบคำถามข้อ ก. และข้อ ข.
๑ ชายหนุ่มสวมชุดภูตผีปิศาจเดินอยู่บนชายหาดในรัฐกินตานาโรเม็กซิโก
๒ เพื่อกระตุ้นให้เกิดความกลัวตายจากการแพร่ระบาดของโรคโควิด๑๕
๓ เจ้าหน้าที่ประกาศให้คนในท้องถิ่นรวมทั้งนักท่องเที่ยวกลับบ้าน
๔ เพราะรัฐกินตานาโรปิดชายหาด ๕ ไม่ให้ประชาชนมาพักผ่อนตากอากาศ
เป็นเวลา๓เดือน
ข้อความส่วนใดปรากฏอวัจนภาษา","1. ส่วนที่ ๑
2. ส่วนที่ ๒
3. ส่วนที่ ๓
4. ส่วนที่ ๔
5. ส่วนที่ ๕",1. ส่วนที่ ๑,TRUE,TRUE,TRUE
2020,5ข,"ใช้สถานการณ์ต่อไปนี้ตอบคำถามข้อ ก. และข้อ ข.
๑ ชายหนุ่มสวมชุดภูตผีปิศาจเดินอยู่บนชายหาดในรัฐกินตานาโรเม็กซิโก
๒ เพื่อกระตุ้นให้เกิดความกลัวตายจากการแพร่ระบาดของโรคโควิด๑๕
๓ เจ้าหน้าที่ประกาศให้คนในท้องถิ่นรวมทั้งนักท่องเที่ยวกลับบ้าน
๔ เพราะรัฐกินตานาโรปิดชายหาด ๕ ไม่ให้ประชาชนมาพักผ่อนตากอากาศ
เป็นเวลา๓เดือน
วัจนภาษาในข้อความข้างต้นไม่แสดงเจตนาตามข้อใด","1. ขู่
2. สั่ง
3. บอก
4. ห้าม
5. เตือน",1. ขู่,TRUE,TRUE,TRUE
